Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Ascent,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,jett,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,skye,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,viper,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,omen,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,astra,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,sova,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,raze,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,chamber,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Haven,yoru,0.0
